Year,Cluster1,Cluster2,Cluster3,Cluster4
2552,5.601987654,8.892661599,17.47486231,4.05376632
2553,7.147728003,10.96216587,20.29818486,5.228564538
2554,8.870988843,13.10930784,20.97981273,7.228484929
2555,12.01863608,19.51398358,33.98915686,8.866122419
2556,15.73796422,25.53238402,43.66290924,10.62383968
2557,24.59339462,35.63793138,52.88282311,16.78349681
2558,41.47069719,54.93730016,70.02243628,30.68330678
2559,51.84176887,62.05998643,76.64683576,40.13739235
2560,57.10050516,65.85273238,80.70634869,46.32081039
2561,59.94912685,69.61714018,83.75985985,51.90284155